电影名称,总票房,类型
为你写诗,1278,爱情
李保国,1277,剧情
道高一丈,1207,犯罪
信仰者,1161,剧情
天慕,1066,剧情
黄大年,1055,剧情
阿里巴巴三根金发,1008,动画
龟兔大作战,1008,动画
说走就走之不说再见,987,爱情
24小时：末路重生,977,动作
远去的牧歌,974,剧情
解码游戏,969,喜剧
最后一公里,905,剧情
小悟空,881,动画
人怕出名猪怕壮,838,喜剧
又是一年三月三,806,剧情
脱皮爸爸,803,喜剧
未择之路,745,剧情
香港大营救,678,剧情
大寒,670,剧情
小公主艾薇拉与神秘王国,662,动画
敦煌不了情,612,喜剧
麦兵兵之夺宝联“萌”,606,喜剧
出山记,589,纪录片
文朝荣,549,传记
警车联盟,532,动画
两只小猪之勇闯神秘岛,510,动画
美食大冒险之英雄烩,503,动画
那些女人,496,战争
生活万岁,491,纪录片
吃货宇宙,486,动画
李学生,477,剧情
毕业作品,457,悬疑
黑暗迷宫,412,悬疑
西北风云,403,剧情
寻找罗麦,402,爱情
暗夜良人,399,剧情
S4侠降魔记,363,喜剧
你美丽了我的人生,363,爱情
午夜幽灵,337,惊悚
冷恋时代,335,剧情
午夜整容室,324,惊悚
二十岁,320,剧情
尖叫直播,311,喜剧
记忆折叠,309,悬疑
超时空大冒险,286,动画
肆式青春,283,动画
灵魂契约,274,惊悚
大世界,263,动画
恐怖浴室,254,惊悚
路过未来,254,剧情
阿拉姜色,244,剧情
午夜十二点,236,惊悚
纯洁心灵·逐梦演艺圈,234,青春
美丽童年,233,剧情
米花之味,230,剧情
黑暗深处之惊魂夜,228,惊悚
恐怖快递,227,惊悚
两个俏公主,223,动画
暮光·巴黎,209,爱情
禹神传之寻找神力,206,动画
归雁,204,剧情
玲珑井,198,惊悚
亲爱的，我要和别人结婚了,194,爱情
西小河的夏天,192,剧情
凌晨两点半,187,惊悚
足球王者,185,动画
让我怎么相信你,184,剧情
小狗奶瓶,165,剧情
古墓兽影,154,动作
黄金花,151,剧情
细思极恐,150,惊悚
毛骨悚然之红衣男孩,148,惊悚
热土,148,剧情
冒牌搭档,147,喜剧
命运速递,141,剧情
一个人的课堂,137,剧情
开学悸,137,惊悚
荒城纪,137,喜剧
因果启示录,133,剧情
大三儿,131,纪录片
伊阿索密码,131,科幻
灵魂当铺之时间典当,128,悬疑
监狱犬计划,125,剧情
一百年很长吗,124,纪录片
忠犬大营救,121,喜剧
正正的世界,119,剧情
非洲遇见你,116,动作
我要去远方,112,剧情
海龙屯,108,纪录片
蓝色金鱼,106,爱情
三国杀·幻,105,动作
最后的棒棒,101,纪录片
泡菜爱上小龙虾,95,喜剧
萌学园：寻找盘古,86,科幻
张艺谋和他的“影”,82,纪录片
姽婳,76,惊悚
一纸婚约,75,爱情
地层深处,74,纪录片
北方一片苍茫,73,剧情
吻隐者,70,剧情
美丽战争,70,动作
快乐星球之三十六号,69,儿童
在天堂等我,50,剧情
大唐风云2,49,动画
青春不留白,48,剧情
奇幻梦之旅,48,爱情
破天荒,44,剧情
天佑之爱,36,奇幻
红盾先锋,35,剧情
皮鞋,32,剧情
我的渡口,29,剧情
梦境之源,29,剧情
自行车与旧电钢,28,纪录片
奶奶的家,28,剧情
沿海出发,27,剧情
一辈子的姐弟,25,剧情
片警宝音,25,剧情
左滩,23,剧情
向阳的日子,23,剧情
淡蓝琥珀,23,剧情
夜魔奇案,23,惊悚
八只鸡,18,儿童
云上日出,14,战争
不一样的焰火,14,剧情
明天有多远,12,剧情
请你记住我,12,爱情
33号公路,9,爱情
爱在归来那一天,9,爱情
来日方长,7,喜剧
超萌特攻,6,动画
堡藏,4,喜剧
有5个姐姐的我就注定要单身了啊,3,爱情
寄生夙愿,3,悬疑
铁臂双雄,3,爱情
二胎来了,2,剧情
爱在湘西,1,爱情
追宝狂想曲,1,剧情
正好的我们,1,剧情
那些名字那些年,1,剧情
苗寨情缘,0,剧情
暗剑,0,战争
谁是坏孩子,0,剧情
缘·梦,0,爱情
寻娃总动员,0,剧情
拳职妈妈,0,剧情
美少女壮士,0,爱情
锁,,剧情
怨灵玩偶,,惊悚
世界上最远的距离,,爱情
信守,,剧情
红高粱（重映）,,剧情
旗袍先生（重映）,,爱情
水族魂1944,,爱情
战狼2,567927,动作
羞羞的铁拳,220175,喜剧
前任3：再见前任,194174,爱情
功夫瑜伽,175260,动作
西游伏妖篇,165593,奇幻
芳华,142258,剧情
乘风破浪,104853,剧情
大闹天竺,75793,喜剧
悟空传,69654,动作
追龙,57465,犯罪
英伦对决,53695,动作
三生三世十里桃花,53454,爱情
妖猫传,53003,奇幻
熊出没之奇幻空间,52250,动画
杀破狼·贪狼,52157,动作
缝纫机乐队,45671,剧情
建军大业,40352,战争
嫌疑人X的献身,40203,剧情
拆弹专家,40049,动作
妖铃铃,36304,喜剧
机器之血,30533,科幻
心理罪,30397,动作
奇门遁甲,29964,动作
记忆大师,29292,剧情
二代妖精之今生有幸,29217,奇幻
侠盗联盟,23687,动作
心理罪之城市之光,22409,剧情
解忧杂货店,22305,剧情
喜欢你,21075,爱情
逆时营救,20123,科幻
春娇救志明,17555,爱情
二十二,17043,剧情
非凡任务,15646,剧情
王牌保镖,13967,喜剧
十万个冷笑话2,13364,动画
大卫贝肯之倒霉特工熊,12636,动画
父子雄兵,12528,喜剧
傲娇与偏见,12426,爱情
决战食神,12191,动作
鲛珠传,11358,奇幻
十八洞村,10711,剧情
东北往事之破马张飞,10611,动作
追捕,10598,动作
七十七天,10362,剧情
游戏规则,10312,动作
冈仁波齐,10010,剧情
绑架者,9572,犯罪
降魔传,9165,喜剧
大护法,8760,动画
麦兜响当当,8316,动画
密战,7945,战争
血战湘江,7394,战争
反转人生,6951,喜剧
狂兽,6774,动作
欢乐喜剧人,6698,喜剧
龙之战,6534,战争
荡寇风云,6512,动作
闪光少女,6486,喜剧
破·局,6451,剧情
疯岳撬佳人,6386,喜剧
明月几时有,6342,剧情
