电影名称,总票房,类型
分手再说我爱你,1273,爱情
我的青春期,1256,喜剧
七月半之恐怖宿舍,1228,惊悚
三城记,1224,爱情
战火中的芭蕾,1211,战争
别有动机,1189,动作
喜马拉雅天梯,1156,纪录片
白雪公主之神秘爸爸,1124,动画
心迷宫,1078,剧情
龙骑侠,1075,动画
笔仙魔咒,1047,惊悚
魔镜,1039,惊悚
情敌蜜月,1036,爱情
闯入者,1004,剧情
爱我就陪我看电影,910,爱情
惊魂电影院,870,惊悚
夺命旅行,853,惊悚
半夜叫你别回头,853,惊悚
奥拉星：进击圣殿,848,动画
诱狼,848,战争
长江7号：超萌特攻队,833,动画
男神时代,826,爱情
三更车库,794,惊悚
浪漫天降,785,爱情
大喜临门,777,喜剧
怪谈,758,惊悚
蜡笔总动员,663,动画
猛龙特囧,635,喜剧
放飞理想,614,喜剧
汽车人总动员,584,动画
一路向前,571,爱情
擦枪走火,553,喜剧
我是谁2015,551,动作
金箍棒传奇2：沙僧的逆袭,551,动画
再见我们的十年,536,爱情
星语心愿之再爱,521,爱情
异种,509,惊悚
遥远的拥抱,507,剧情
来电不善,500,动作
宝贝，对不起,498,剧情
藏羚王之雪域精灵,477,动画
小猪班纳大电影之梦想大“帽”险,449,动画
恐怖游泳馆,424,惊悚
天眼传奇,411,动画
枕边诡影,407,爱情
人皮拼图,406,悬疑
极地大反攻,400,动画
灵臆事件,400,惊悚
穿越硝烟的歌声,341,战争
诡影迷情,341,惊悚
红髅,341,惊悚
探灵档案,334,惊悚
我爸比我小四岁,332,喜剧
爱之初体验,322,喜剧
我的诗篇,320,纪录片
轩辕剑传奇,316,动作
双生灵,311,惊悚
无敌小飞猪,308,喜剧
我只要我们在一起,308,爱情
特功明星,306,动画
狂野飞车,305,爱情
诡娃娃,287,惊悚
魔卡行动,283,喜剧
对风说爱你,278,爱情
兔子镇的火狐狸,266,动画
诡劫,259,惊悚
索命暹罗之按摩师,249,惊悚
墓穴迷城,249,惊悚
雨夜惊魂,246,惊悚
西游新传2：真心话大冒险,246,动画
死亡之谜之双鱼玉佩,244,惊悚
亲，别怕,227,惊悚
没女神探,201,爱情
菜鸟,192,爱情
搏击迷城,186,爱情
我的处女地,183,剧情
摇滚英雄,181,爱情
热血男人帮,179,喜剧
1980年代的爱情,177,爱情
超能兔战队,176,动画
回到被爱的每一天,169,爱情
犹太女孩在上海2：项链密码,165,动画
悬战,162,动作
王子与108煞,159,动画
陌路惊笑,157,惊悚
最美的时候遇见你,156,爱情
大宅男,147,喜剧
诡打墙,134,惊悚
拳霸风云,134,爱情
迷与狂,126,喜剧
黄金福将,125,爱情
东北偏北,93,喜剧
魔比斯环3D,92,动画
少年毛泽东,85,动画
恋爱排班表,84,爱情
全能囧爸,83,喜剧
家在水草丰茂的地方,82,剧情
斗地主,81,喜剧
根据地,79,纪录片
我要你开花,78,喜剧
约定倒计时,68,爱情
天亮·分手,58,爱情
摇滚水果,53,爱情
顺风车,51,喜剧
紫霞,49,奇幻
零点杀机,47,惊悚
电商时代,46,喜剧
时光大战,45,动作
美丽笨女人,39,爱情
女神跟我走,38,爱情
胜利大阅兵,32,纪录片
哺乳期的女人,29,剧情
探秘者,29,剧情
囧贼,27,爱情
梦行者,24,剧情
幸福很囧,24,爱情
遭遇海明威,22,爱情
桑榆街9号,21,剧情
爱情魔发师,20,爱情
痞子·洛克,16,动作
不能错过,14,爱情
一刻十年,12,爱情
我是大明星,10,喜剧
钢铁，是这样炼成的,10,纪录片
火云端,10,剧情
男二本色,6,喜剧
水晶女孩,5,剧情
军号密码,5,战争
北京时间,1,爱情
大音,1,剧情
风雨日升昌,1,纪录片
莫日根,1,动画
漫瀚调,1,爱情
多梦季节,0,剧情
旺都之恋,0,爱情
追梦英雄,0,剧情
天降,0,剧情
闺蜜心窍,0,惊悚
乌珠穆沁的孩子,0,剧情
灵魂摆渡2,,悬疑
变形金刚4：绝迹重生,197752,科幻
心花路放,116934,喜剧
西游记之大闹天宫,104550,奇幻
智取威虎山,88418,动作
分手大师,66544,爱情
后会无期,62881,爱情
匆匆那年,58850,爱情
澳门风云,52479,动作
小时代3：刺金时代,52156,爱情
一步之遥,51495,喜剧
同桌的妳,45576,爱情
敢死队3,45327,动作
京城81号,41232,惊悚
北京爱情故事,40555,爱情
白发魔女传之明月天国,38915,古装
亲爱的,34497,剧情
窃听风云3,30870,犯罪
归来,29147,爱情
微爱之渐入佳境,28637,爱情
催眠大师,27391,惊悚
熊出没之夺宝熊兵,24808,动画
撒娇女人最好命,23049,爱情
一生一世,22851,爱情
老男孩之猛龙过江,20887,喜剧
闺蜜,20494,爱情
痞子英雄2：黎明升起,20429,动作
单身男女2,19858,爱情
太平轮（上）,19542,爱情
四大名捕3,19233,古装
大话西游之大圣娶亲,18920,喜剧
黄飞鸿之英雄有梦,18423,动作
我的早更女友,16180,爱情
冰封：重生之门,14270,动作
前任攻略,12969,爱情
十万个冷笑话,11988,喜剧
狂怒,11902,动作
一个人的武林,11843,动作
魔警,10833,动作
白日焰火,10371,爱情
临时同居,10108,爱情
绣春刀,9324,动作
喜羊羊与灰太狼之飞马奇遇记,8624,动画
整容日记,8441,喜剧
六福喜事,8091,爱情
救火英雄,7746,动作
触不可及,7682,爱情
英雄之战,7458,动作
露水红颜,6629,爱情
盗马记,6273,喜剧
赛尔号4大电影：圣魔之战,6233,动画
神秘世界历险记2,6194,动画
秦时明月之龙腾万里,5998,动画
神笔马良,5864,动画
龙之谷：破晓奇兵,5741,动画
脱轨时代,5473,爱情
黄金时代,5154,传记
笔仙3,5038,惊悚
潜艇总动员4：章鱼奇遇记,4914,动画
洛克王国3：圣龙的守护,4788,动画
麦兜·我和我妈妈,4640,动画
铠甲勇士之雅塔莱斯,4442,动画
猪猪侠之勇闯巨人岛,4365,动画
新大头儿子和小头爸爸之秘密计划,4245,动画
绝命航班,3673,惊悚
笔仙惊魂3,3531,惊悚
全城通缉,3505,犯罪
天河,3324,剧情
王牌,3165,战争
大话天仙,2962,喜剧
完美假妻168,2929,爱情
开心超人2：启源星之战,2803,动画
疯狂72小时,2736,喜剧
辛巴达历险记2,2596,动画
怨灵人偶,2592,惊悚
魁拔Ⅲ战神崛起,2511,动画
百变爱人,2416,喜剧
老海的新生活,2328,剧情
最青春,2288,剧情
食人虫,2258,惊悚
好命先生,2213,爱情
夜莺,2204,爱情
魔幻仙踪,2187,动画
谁说我们不会爱,2147,爱情
我在路上最爱你,2085,爱情
碟仙诡谭,2013,惊悚
巴啦啦小魔仙之魔法的考验,1916,奇幻
怨灵,1895,惊悚
81号农场之疯狂的麦咭,1879,动画
白雪公主之矮人力量,1763,动画
不能说的夏天,1668,爱情
床下有人2,1490,惊悚
人间·小团圆,1431,爱情
过界男女,1424,爱情
男人不可以穷,1376,喜剧
夜半梳头,1348,惊悚
推拿,1315,爱情
我的播音系女友,1283,爱情
女生宿舍,1283,惊悚
恐怖电影院,1228,惊悚
天上的菊美,1177,纪录片
龟兔再跑,1173,动画
永远的焦裕禄,1156,纪录片
江湖论剑实录,1094,喜剧
不再说分手,1028,爱情
大话西游之月光宝盒,1027,喜剧
深夜前的五分钟,1007,爱情
坏姐姐之拆婚联盟,993,爱情
诡镇,933,惊悚
密道追踪之阴兵虎符,901,动作
最佳嫌疑人,885,喜剧
聪明的一休之反斗公主,804,动画
恶战,804,动作
还魂之迷失曼谷,778,惊悚
爱情进化论,763,爱情
洋妞到我家,756,喜剧
特工艾米拉,742,动作
诡八楼,729,惊悚
美人邦,703,爱情
化妆师,668,惊悚
我就是我,653,爱情
死亡邮件,646,惊悚
拆散专家,638,爱情
花咒,628,惊悚
非狐外传,609,古装
诡替身,602,惊悚
封门村,567,惊悚
怖偶,564,惊悚
死亡派对,551,惊悚
闪魂,539,惊悚
秘术,504,惊悚
激浪青春,498,爱情
分手达人,442,爱情
太空熊猫总动员,439,动画
蓝色骨头,420,剧情
林中小屋,396,爱情
求爱嫁期,382,爱情
孤岛,360,惊悚
缘来是游戏,327,爱情
城市游戏,327,动作
李可乐寻人记,320,喜剧
谁动了我的梦想,319,爱情
我想结婚的时候你在哪,281,爱情
对不起，我爱你,280,爱情
下一站再爱你,254,爱情
北回归线,247,爱情
三小强,244,动画
心咒,243,惊悚
香气,239,爱情
兰亭,236,爱情
完美超越,233,喜剧
黄克功案件,227,剧情
有一天,220,剧情
摩登森林之美食总动员,217,动画
忘了去懂你,213,爱情
警察日记,211,犯罪
我是狼之火龙山大冒险,208,动画
一号目标,205,动作
放手爱,199,爱情
虐面人之死灵面膜,195,惊悚
21岁派对,175,喜剧
喵星少年漂流记,171,动画
超萌英雄,169,爱情
狙击时刻,169,动作
破局,164,爱情
斐济99℃爱情,127,爱情
江南爱情故事,123,爱情
大寒桃花开,114,爱情
风云1927,108,战争
金牌流浪狗,105,喜剧
黑月,97,惊悚
精武青春,96,爱情
古堡之吻,92,爱情
一个温州的女人,92,爱情
201413爱你一世一生,90,爱情
潜龙风云,85,爱情
不爱不散,77,爱情
我是你的野蛮女友,77,爱情
再爱一次好不好,76,爱情
夺樽,74,动作
爱情狂想曲,59,爱情
十二生肖城市英雄,59,动画
我的青春蜜友,57,爱情
0.5的爱情,56,爱情
海神密码,56,动作
201413,55,爱情
大峰祖师,49,惊悚
37次想你,49,爱情
第一眼爱情,47,爱情
U盘,40,喜剧
80后的独立宣言,40,青春
近距离击杀,39,悬疑
恋者多喜欢,38,爱情
飞鱼秀,33,纪录片
菊花台,32,爱情
幸福中转栈,31,喜剧
卧龙岗,29,喜剧
爱你不等来生,26,爱情
剑河,25,动作
章鱼哥,24,动画
渴望的青春,19,爱情
换爱七日,18,爱情
深情约定,18,剧情
神剑传奇,10,动画
等你追我,10,爱情
分手木马计,8,爱情
我不是贼,7,喜剧
青春时光,7,爱情
凡人烦恼,3,喜剧
跑过罗湖桥,1,剧情
跑过罗湖桥,1,剧情
跑过罗湖桥,1,剧情
跑过罗湖桥,1,剧情
合欢树,1,爱情
蚀之怀朴抱素,1,剧情
蚀之章台秋柳,1,爱情
破五,1,剧情
面孔,0,剧情
面孔,0,剧情
面孔,0,剧情
面孔,0,剧情
奈河,0,剧情
向阳花开,,爱情
西游降魔篇,124699,奇幻
钢铁侠3,75487,动作
致我们终将逝去的青春,71918,青春
私人订制,71380,喜剧
狄仁杰之神都龙王,60078,动作
中国合伙人,53880,爱情
警察故事2013,53439,动作
北京遇上西雅图,52017,爱情
小时代,48481,青春
风暴,31475,动作
天机·富春山居图,30032,动作
小时代2：青木时代,29630,爱情
一代宗师,28924,动作
不二神探,28401,悬疑
厨子戏子痞子,27284,动作
扫毒,23791,动作
盲探,21420,动作
101次求婚,20001,爱情
分手合约,19285,爱情
全民目击,18119,悬疑
一夜惊喜,17733,爱情
四大名捕2,17429,动作
云图,17020,悬疑
特殊身份,15527,动作
被偷走的那五年,14941,爱情
毒战,14696,动作
非常幸运,13708,爱情
逃出生天,13308,动作
喜羊羊与灰太狼之喜气羊羊过蛇年,12494,动画
天台爱情,11983,爱情
激战,11789,动作
大明猩,11282,喜剧
我想和你好好的,8774,爱情
笔仙2,8217,惊悚
等风来,7979,爱情
赛尔号大电影3之战神联盟,7650,动画
我爱灰太狼2,7549,动画
笑功震武林,7022,动作
洛克王国2圣龙的心愿,6954,动画
摩登年代,6845,爱情
忠烈杨家将,6182,动作
周恩来的四个昼夜,5985,纪录片
百星酒店,5831,喜剧
潜艇总动员3：彩虹宝藏,5756,动画
宫锁沉香,5448,古装
巴啦啦小魔仙,5190,奇幻
控制,4363,悬疑
辛巴达历险记2013,4022,动画
开心超人,3566,动画
史前怪兽,3483,动作
在一起,3228,爱情
白狐,3154,爱情
我爱的是你爱我,3029,爱情
青春派,2814,青春
太极侠,2757,动作
81号农场之保卫麦咭,2532,动画
魁拔之大战元泱界,2530,动画
意外的恋爱时光,2363,爱情
枕边有张脸,2355,惊悚
圣诞玫瑰,2349,悬疑
一场风花雪月的事,2276,爱情
同谋,2258,惊悚
电梯惊魂,2221,惊悚
昆塔·盒子总动员,1819,动画
诡婴吉咪,1819,惊悚
青蛙王国,1777,动画
孤岛惊魂2,1673,惊悚
一路顺疯,1425,喜剧
201314,1326,爱情
制服,1294,惊悚
金刚王：死亡救赎,1271,动作
波鲁鲁冰雪大冒险,1220,动画
爱神,1212,爱情
女蛹,1192,悬疑
叶问：终极一战,1113,动作
回到爱开始的地方,1109,爱情
古镇凶灵之巫咒缠身,1065,惊悚
杀戒,948,爱情
绿林大冒险,939,动画
逆光飞翔,889,爱情
愤怒的小孩,845,喜剧
校花诡异事件,801,惊悚
临终囧事,782,惊悚
我的男男男男朋友,780,喜剧
咒丝,744,惊悚
爱情不NG,723,喜剧
暗恋99天,704,爱情
一座城池,688,青春
午夜火车,679,惊悚
一路狂奔,588,喜剧
火焰山历险记,583,动画
猎仇者,581,悬疑
圣龙奇兵大冒险,571,动画
金太狼的幸福生活,561,爱情
午夜微博,537,惊悚
爱情银行,536,爱情
铁血娇娃,522,动作
我为相亲狂,517,爱情
疯狂的导演,504,喜剧
冲锋战警,492,动作
步步追魂,479,惊悚
大叔，我爱你,476,爱情
大明劫,455,古装
4B青年之4楼B座,452,爱情
止杀令,451,动作
终极大冒险,447,动画
人间蒸发,433,惊悚
时光恋人,414,爱情
甜心巧克力,413,爱情
粉红女郎之爱人快跑,401,爱情
光辉岁月,377,动作
楼,372,惊悚
诡魇,357,惊悚
大片,352,喜剧
迷魂之密室逃脱,349,惊悚
夜幕惊魂,333,惊悚
北漂鱼,333,喜剧
模特魅影,333,惊悚
全城高考,332,爱情
中国好声音之为你转身,302,剧情
冷瞳,285,惊悚
少女灵异日记,259,惊悚
蝙蝠别墅,256,惊悚
啊朋友还钱,253,喜剧
早见，晚爱,244,爱情
太空熊猫历险记,230,动画
初恋未满,226,爱情
花漾,218,爱情
爱爱囧事,212,爱情
梦幻岛,209,爱情
杨光的快乐生活,207,喜剧
萧红,203,爱情
诡拼车,201,惊悚
暴走吧，女人,199,爱情
让熊猫飞,190,喜剧
不肯去观音,178,纪录片
隔窗有眼,175,惊悚
西柏坡2：王二小,171,动画
听见下雨的声音,171,爱情
柠檬,168,喜剧
我的老婆是只猫,165,动画
公主的诱惑,162,青春
小小飞虎队,151,儿童
郑和1405：魔海寻踪,151,动画
冲锋号,139,动画
三月情流感,136,爱情
功夫战斗机,131,动作
暴躁天使,127,爱情
爱别离,124,爱情
高铁英雄,119,动画
玛德2号,117,喜剧
盗剑72小时,108,喜剧
小神来了,105,喜剧
绑架大明星,104,喜剧
危情营救,102,犯罪
青春雷锋,100,传记
钢琴木马,91,悬疑
百万爱情宝贝,86,爱情
孪生密码,82,动作
爱拼北京,80,爱情
囧人之越挠越痒,79,喜剧
幸福快递,79,青春
致命闪玩,73,惊悚
刺夜,73,动作
夏日示爱,73,爱情
梦幻飞琴,71,动画
光的棍,70,爱情
美姐,68,爱情
功夫侠,67,动作
倾城,66,动作
喜剧王,60,喜剧
亲爱,60,爱情
我的美丽王国,57,爱情
牛胆神偷,51,喜剧
残团,50,战争
东方中国梦,49,纪录片
甜蜜十八岁,48,青春
雷锋的微笑,46,纪录片
有招没招之爱情达人,45,爱情
有种,40,青春
爱很美,39,爱情
门巴将军,38,纪录片
非秀不可,34,爱情
石器时代之百万大侦探,32,喜剧
飘落的羽毛,32,爱情
越位者,30,动作
目标战,29,动作
野草莓,25,青春
逆袭,19,喜剧
刘老庄八十二壮士,18,战争
太阳脸,14,儿童
刺客,11,动作
我要回城,10,喜剧
武昌情殇,9,剧情
舍身技,4,动作
云中岗亭,3,传记
老刘的婚路历程,2,剧情
爱情碰碰撞,2,爱情
姑娘,1,爱情
梦萦张家界,0,剧情
微风吹乱蜗牛心,0,剧情
无枪,0,剧情
阿拉尔·我和你,0,剧情
伊宁不眠夜,0,剧情
生死底线,0,剧情
人再囧途之泰囧,127194,喜剧
十二生肖,88118,动作
画皮2,70211,爱情
一九四二,37113,战争
敢死队2,33218,动作
听风者,23220,剧情
四大名捕,19985,动作
大魔术师,17364,爱情
搜索,17315,悬疑
喜羊羊与灰太狼之开心闯龙年,16762,动画
消失的子弹,16043,动作
大海啸之鲨口逃生,15709,动作
黄金大劫案,15031,喜剧
大上海,14976,动作
太极1：从零开始,14732,动作
白鹿原,14199,剧情
爱,13673,爱情
环形使者,12948,科幻
逆战,12940,动作
太极2：英雄崛起,11844,动作
二次曝光,10739,爱情
铜雀台,10607,剧情
痞子英雄之全面开战,8744,动作
八星抱喜,8622,喜剧
我愿意,8497,爱情
王的盛宴,7700,古装
我爱灰太狼,7535,动画
血滴子,7188,动作
河东狮吼2,7092,喜剧
春娇与志明,7060,爱情
桃姐,7052,剧情
危险关系,6271,爱情
笔仙,5817,惊悚
新天生一对,5218,爱情
麦兜·当当伴我心,4903,动画
HOLD住爱,4414,爱情
饭局也疯狂,4382,喜剧
绣花鞋,4343,惊悚
大武当之天地密码,3796,动作
第一次,3581,爱情
赛尔号2：雷伊与迈尔斯,3122,动画
男人如衣服,3120,爱情
边境风云,2924,动作
匹夫,2766,动作
车在囧途,2751,喜剧
我老公不靠谱,2596,喜剧
嫁个100分男人,2526,爱情
摩尔庄园2：海妖宝藏,2525,动画
雨中的树,2392,传记
笔仙惊魂,2351,悬疑
双城计中计,2308,喜剧
神秘世界历险记,2209,动画
情谜,2195,爱情
高海拔之恋2,2149,爱情
十二星座离奇事件,2005,惊悚
杀生,1915,惊悚
忠诚与背叛,1823,战争
影子爱人,1816,爱情
搞定岳父大人,1771,喜剧
追凶,1668,犯罪
潜艇总动员2,1666,动画
真心话大冒险,1527,爱情
毕业那年,1493,青春
恐怖旅馆,1447,惊悚
疯狂的蠢贼,1386,喜剧
亲家过年,1296,爱情
百万巨鳄,1288,惊悚
诡爱,1203,惊悚
猪猪侠之囧囧危机,1188,动画
伤心童话,1147,爱情
半夜不要照镜子,1146,惊悚
天生爱情狂,1139,爱情
吴仁宝,1113,传记
金箍棒传奇,1097,动画
醉后一夜,992,爱情
目击者,895,惊悚
形影不离,894,悬疑
青魇,818,惊悚
变身男女,806,爱情
神探亨特张,781,剧情
夜店诡谈,756,惊悚
给野兽献花,750,喜剧
宝岛双雄,732,喜剧
钱学森,721,传记
地下室惊魂,705,惊悚
魅妆,686,惊悚
新妈妈再爱我一次,594,爱情
无间罪：僵尸重生,584,惊悚
超蛙战士之威武教官,558,动画
浮城谜事,554,爱情
秘密花园,546,爱情
爱在那一天,534,爱情
飞越老人院,526,剧情
乐翻天,508,喜剧
我11,498,剧情
宝贝女儿好妈妈之吃记忆的大雪球,462,动画
饮食男女2012,454,爱情
我是大熊猫,434,动画
宝马狂想曲,421,喜剧
绝录求生,417,惊悚
一八九四·甲午大海战,415,战争
邋遢大王奇遇记,415,动画
神通乡巴佬,407,爱情
惊魂游戏,395,惊悚
高举爱,388,爱情
重返大海,386,动画
悬赏,378,爱情
超时空救兵,374,喜剧
荒岛情未了,372,悬疑
恋爱三万英尺,341,爱情
孝女彩金,330,剧情
下一个奇迹,324,爱情
就是闹着玩的,324,喜剧
守株人,309,悬疑
初恋浅规则,302,爱情
查无此人,294,悬疑
异度迷局,294,惊悚
热爱岛,278,喜剧
乌龙戏凤2012,273,喜剧
地域无门,268,惊悚
死亡迷局,267,惊悚
万箭穿心,265,爱情
致命替身,262,惊悚
玩命时光,256,动作
开心大冒险,255,喜剧
一起飞,241,喜剧
结婚狂想曲,237,爱情
幸福迷途,228,爱情
十五岁的笑脸,225,青春
海鲜陆战队,221,动画
浮出水面的影子,218,惊悚
平壤之约,214,剧情
生死罗布泊,205,剧情
请叫我英雄,201,喜剧
台北飘雪,195,爱情
非常绑匪,193,喜剧
热血街头,192,青春
狂奔蚂蚁,191,喜剧
借你俩胆,188,喜剧
今天·明天,179,动画
爱谁谁,172,爱情
华丽之后,168,爱情
四戒,166,喜剧
街头之王,160,动作
女人如花,160,爱情
索道医生,155,传记
做次有钱人,153,喜剧
囧蛋奇兵,149,儿童
稍安勿躁,146,剧情
索马里真相,145,战争
咱们是亲人,140,剧情
非常营救,138,悬疑
拯救第365天,138,动画
人山人海,119,剧情
黑暗中的救赎,109,悬疑
纽约客@上海,108,喜剧
潘多拉的宝剑,105,喜剧
南平红荔,105,剧情
小鱼吃大鱼,105,爱情
绝对底线,102,犯罪
哭笑不得,102,喜剧
八卦宗师,100,动作
月色狰狞,98,动作
美男记,89,爱情
神马都是浮云,88,喜剧
残梦,75,悬疑
关于爱情和那些魔鬼,67,爱情
大兵金宝历险记,67,动画
爱你一生一世,64,爱情
初到东京,62,爱情
自古英雄出少年之岳飞,59,喜剧
浩昊文字国历险记：三战怪怪城,58,动画
咆哮无声,48,战争
蓝调海之恋,45,爱情
双截棍,43,动作
骆驼客,41,爱情
给你一千万,40,喜剧
我的狗狗我的爱,38,剧情
倭寇的踪迹,37,战争
岁月无声,35,剧情
南方大冰雪,32,剧情
刘伯承市长,26,战争
保安刘十八,26,剧情
与妻书,25,爱情
我是中国人,24,战争
云上太阳,22,剧情
七个隆咚锵咚锵,18,喜剧
有这样一个医生,18,剧情
最长的拥抱,15,爱情
百合的故事,13,剧情
桃枝的桃,11,爱情
月光恋,8,爱情
湘南起义,5,战争
界限,2,剧情
爱上灰姑娘,2,爱情
八大山人,2,古装
有一种爱叫做放手,1,喜剧
沙井村之恋,,爱情
金陵十三钗,59237,战争
龙门飞甲,54031,动作
建党伟业,41042,战争
失恋33天,32064,爱情
新少林寺,21258,动作
窃听风云2,20896,动作
将爱情进行到底,19364,爱情
白蛇传说,18043,奇幻
武侠,17022,动作
最强囍事,16716,喜剧
关云长,15742,动作
画壁,15067,爱情
倩女幽魂,13982,爱情
鸿门宴,13972,动作
喜羊羊与灰太狼之兔年顶呱呱,13925,动画
亲密敌人,11042,爱情
财神客栈,10244,喜剧
单身男女,9527,爱情
孤岛惊魂,8905,惊悚
杨善洲,8347,传记
战国,7605,战争
东成西就2011,7498,喜剧
观音山,6995,爱情
飞天,6574,传记
我知女人心,6537,爱情
最爱,5832,爱情
全球热恋,5826,爱情
神奇侠侣,5061,喜剧
熊猫总动员,4568,动画
赛尔号之寻找凤凰神兽,4408,动画
倾城之泪,4399,爱情
大武生,4268,动作
雪花秘扇,3502,爱情
杨门女将之军令如山,3495,动作
寻龙夺宝,3212,动作
假装情侣,3134,爱情
幸福额度,2935,爱情
洛克王国！圣龙骑士,2729,动画
B+侦探,2502,悬疑
极速天使,2461,动作
硬汉2：奉陪到底,2327,动作
刀见笑,2233,喜剧
无价之宝,2196,喜剧
巴黎宝贝,2120,喜剧
开心魔法,2004,喜剧
不再让你孤单,2000,爱情
郭明义,1921,传记
守望者：罪恶迷途,1784,惊悚
摩尔庄园冰世纪,1747,动画
夺命心跳,1638,悬疑
大人物,1628,喜剧
兔侠传奇,1565,动画
密室之不可靠岸,1532,惊悚
星空,1510,剧情
B区32号,1492,惊悚
床下有人,1486,惊悚
隐婚男女,1407,爱情
肩上蝶,1267,奇幻
紫宅,1055,惊悚
致命请柬,1032,悬疑
午夜凶梦,923,惊悚
巨额交易,918,喜剧
回马枪,908,动作
梦游3D,897,惊悚
遍地狼烟,880,动作
夜惊魂,839,惊悚
李献计历险记,830,爱情
无极限之危情速递,758,爱情
男得有爱,710,爱情
一夜未了情,695,爱情
戒烟不戒酒,695,喜剧
钢的琴,662,喜剧
与时尚同居,568,爱情
歼十出击,541,动作
我们约会吧,523,爱情
宅男总动员,511,喜剧
水落石出,508,惊悚
魁拔,500,动画
追爱,492,爱情
像小强一样活着,467,喜剧
转山,441,剧情
万有引力,440,爱情
夏日乐悠悠,436,爱情
不怕贼惦记,389,喜剧
房不剩防,379,喜剧
恋爱恐慌症,378,爱情
爱封了,353,爱情
秋之白华,337,传记
嘿·店,333,喜剧
恐龙宝贝,327,动画
蛋炒饭,323,喜剧
智取威虎山(动画版),308,动画
劳拉的星星在中国,301,动画
跟踪孔令学,271,喜剧
2012来了,244,喜剧
西柏坡,243,动画
敏感事件,231,悬疑
Hello，树先生！,222,喜剧
囧探佳人,211,喜剧
蔡李佛-极限拳速,184,动作
老夫子之小水虎传奇,180,动画
双人床条约,172,爱情
幸福卡片,166,剧情
赛车传奇,162,爱情
岁岁清明,157,剧情
惊沙,151,战争
藏獒多吉,149,动画
夏日恋神马,138,爱情
湘江北去,137,战争
芳香之城传奇,135,爱情
少年岳飞传奇,134,动画
光棍终结者,120,爱情
新月魅影,118,惊悚
无底洞,116,悬疑
英雄喋血,105,战争
闯堂兔,102,动画
左利军,99,传记
堵车,92,动作
乌鲁木齐的天空,88,剧情
蔡李佛拳,75,动作
谁主沉浮,65,剧情
你是哪里人,65,喜剧
竞雄女侠秋瑾,61,传记
失控,61,惊悚
大太阳,60,剧情
一路惊心,52,喜剧
古宝奇缘,50,喜剧
幸存日,47,惊悚
星海,45,传记
炫舞天鹅,45,剧情
守护童年,43,儿童
云下的日子,42,喜剧
北川重生,41,剧情
琴动我心,29,剧情
天赐,18,纪录片
假如没有你,17,剧情
重来,17,爱情
甲天下,15,剧情
西藏往事,14,爱情
百年情书,14,传记
大震撼,13,剧情
亲亲我,12,喜剧
黑客悲情,11,犯罪
绝代：末代女土司,9,动作
消失的村庄,9,剧情
让子弹飞,65355,动作
非诚勿扰2,47159,爱情
狄仁杰之通天帝国,28620,古装
叶问2：宗师传奇,23111,动作
大兵小将,15729,动作
大笑江湖,15167,喜剧
山楂树之恋,14497,爱情
锦衣卫,14187,动作
精武风云·陈真,13657,动作
越光宝盒,13064,喜剧
全城热恋,12943,爱情
枪王之王,12658,动作
杜拉拉升职记,12441,爱情
喜羊羊与灰太狼之虎虎生威,12438,动画
孔子,9951,传记
全城戒备,8998,科幻
西风烈,6847,动作
花田喜事2010,5984,喜剧
未来警察,5899,科幻
唐伯虎点秋香2之四大才子,5609,喜剧
恋爱通告,5302,爱情
线人,5276,动作
苏乞儿,4897,动作
功夫梦,4714,动作
决战刹马镇,4570,喜剧
谍海风云,4546,爱情
人在囧途,3763,喜剧
美丽密令,3740,喜剧
魔侠传之唐吉可德,3712,动作
午夜心跳,3061,惊悚
东风雨,2984,悬疑
龙凤店,2921,喜剧
嘻游记,2891,喜剧
密室之不可告人,2423,惊悚
荒村公寓,2290,惊悚
我的野蛮女友2,2040,爱情
长江7号爱地球,2001,动画
异度公寓,1977,惊悚
火龙对决,1843,动作
完美嫁衣,1806,喜剧
绝命岛,1783,惊悚
第一书记,1612,传记
岁月神偷,1561,剧情
海洋天堂,1413,剧情
叶问前传,1318,动作
李小龙我的兄弟,1300,传记
爱出色,1294,爱情
黑猫警长,1249,动画
超蛙战士之初露锋芒,915,动画
等着你回来,855,惊悚
出水芙蓉,842,爱情
三笑之才子佳人,799,喜剧
爱情维修站,763,爱情
大玩家,748,喜剧
功夫咏春,728,动作
一路有你,725,爱情
跟我的前妻谈恋爱,683,爱情
爱情36计,596,爱情
虎王归来,564,动画
摇摆de婚约,510,爱情
庐山恋2010,502,爱情
活该你单身,487,爱情
铠甲勇士之帝皇侠,481,科幻
迷城,413,惊悚
A面B面,402,剧情
终极匹配,325,爱情
虹猫蓝兔火凤凰,318,动画
喋血孤城,311,战争
异空危情,298,惊悚
绑架冰激凌,206,喜剧
日照重庆,204,剧情
西游新传,186,动画
四个丘比特,143,剧情
打擂台,135,喜剧
我的雷人男友,133,喜剧
老虎都要嫁,121,爱情
大胃王,115,喜剧
不是闹着玩的,113,喜剧
世博总动员,111,动画
梦回金沙城,109,动画
好雨时节,99,爱情
一不留神,94,喜剧
娜娜的玫瑰战争,90,爱情
如梦,87,爱情
追踪章鱼保罗,84,惊悚
我们天上见,81,剧情
马文的战争,70,剧情
海上传奇,62,纪录片
一只狗的大学时光,58,喜剧
西域传奇,50,动画
舞吧！昴,47,剧情
